fid,category,gewas,gewascode,jaar,status,GDB_GEOMAT,layer,path,z_mean,mergedcrop,Z_DSM_mean,compaction,slope_mean,count_pix,sum,mean
1,Bouwland,"Aardappelen, consumptie",2014,,Definitief,,Aardappelen - All variations POTATOES — basic_crop_registratio_plots__crop_registration_plots_,F:/1 - Thesis/Field data/Crop/Aardappelen - All variations POTATOES.gpkg|layername=basic_crop_registratio_plots__crop_registration_plots_,-0.02937782,4.820348427,-0.02937782,3.426666667,0.338052028,12048,2896.071974,0.24037782
2,Bouwland,"Aardappelen, consumptie",2014,,Definitief,,Aardappelen - All variations POTATOES — basic_crop_registratio_plots__crop_registration_plots_,F:/1 - Thesis/Field data/Crop/Aardappelen - All variations POTATOES.gpkg|layername=basic_crop_registratio_plots__crop_registration_plots_,-1.216046933,7.305842306,-1.216046933,3.914529915,0.246159281,18265,26065.01215,1.427046929
4,Bouwland,"Aardappelen, consumptie",2014,,Definitief,,Aardappelen - All variations POTATOES — basic_crop_registratio_plots__crop_registration_plots_,F:/1 - Thesis/Field data/Crop/Aardappelen - All variations POTATOES.gpkg|layername=basic_crop_registratio_plots__crop_registration_plots_,-0.565374342,0.060164767,-0.565374342,4,0.541877855,151,117.2336739,0.776381946
5,Bouwland,"Aardappelen, consumptie",2014,,Definitief,,Aardappelen - All variations POTATOES — basic_crop_registratio_plots__crop_registration_plots_,F:/1 - Thesis/Field data/Crop/Aardappelen - All variations POTATOES.gpkg|layername=basic_crop_registratio_plots__crop_registration_plots_,0.062384816,2.365293239,0.062384816,4,0.238414169,5916,879.3099569,0.148632515
7,Bouwland,"Aardappelen, consumptie",2014,,Definitief,,Aardappelen - All variations POTATOES — basic_crop_registratio_plots__crop_registration_plots_,F:/1 - Thesis/Field data/Crop/Aardappelen - All variations POTATOES.gpkg|layername=basic_crop_registratio_plots__crop_registration_plots_,0.59383357,2.058630605,0.59383357,5,0.661668101,5142,-1967.905394,-0.382712056
8,Bouwland,"Aardappelen, consumptie",2014,,Definitief,,Aardappelen - All variations POTATOES — basic_crop_registratio_plots__crop_registration_plots_,F:/1 - Thesis/Field data/Crop/Aardappelen - All variations POTATOES.gpkg|layername=basic_crop_registratio_plots__crop_registration_plots_,0.464449564,4.642843102,0.464449564,28.24324324,0.389726478,11598,-2939.248915,-0.253427222
9,Bouwland,"Aardappelen, consumptie",2014,,Definitief,,Aardappelen - All variations POTATOES — basic_crop_registratio_plots__crop_registration_plots_,F:/1 - Thesis/Field data/Crop/Aardappelen - All variations POTATOES.gpkg|layername=basic_crop_registratio_plots__crop_registration_plots_,-0.266768332,7.300850158,-0.266768332,4,0.323926084,18245,8716.883305,0.477768337
10,Bouwland,"Aardappelen, consumptie",2014,,Definitief,,Aardappelen - All variations POTATOES — basic_crop_registratio_plots__crop_registration_plots_,F:/1 - Thesis/Field data/Crop/Aardappelen - All variations POTATOES.gpkg|layername=basic_crop_registratio_plots__crop_registration_plots_,0.027582422,3.181256303,0.027582422,3.942307692,0.961962923,7953,1476.404186,0.185641165
11,Bouwland,"Aardappelen, consumptie",2014,,Definitief,,Aardappelen - All variations POTATOES — basic_crop_registratio_plots__crop_registration_plots_,F:/1 - Thesis/Field data/Crop/Aardappelen - All variations POTATOES.gpkg|layername=basic_crop_registratio_plots__crop_registration_plots_,0.474151895,0.104337981,0.474151895,49.67443636,5.520016732,261,-68.65588606,-0.263049372
12,Bouwland,"Aardappelen, consumptie",2014,,Definitief,,Aardappelen - All variations POTATOES — basic_crop_registratio_plots__crop_registration_plots_,F:/1 - Thesis/Field data/Crop/Aardappelen - All variations POTATOES.gpkg|layername=basic_crop_registratio_plots__crop_registration_plots_,-0.543935994,2.065516207,-0.543935994,3,0.312870338,5161,3896.228798,0.754936795
13,Bouwland,"Aardappelen, consumptie",2014,,Definitief,,Aardappelen - All variations POTATOES — basic_crop_registratio_plots__crop_registration_plots_,F:/1 - Thesis/Field data/Crop/Aardappelen - All variations POTATOES.gpkg|layername=basic_crop_registratio_plots__crop_registration_plots_,-0.730133095,11.96989459,-0.730133095,3.850515464,0.338055033,29922,30178.18862,1.008561882
14,Bouwland,"Aardappelen, consumptie",2014,,Definitief,,Aardappelen - All variations POTATOES — basic_crop_registratio_plots__crop_registration_plots_,F:/1 - Thesis/Field data/Crop/Aardappelen - All variations POTATOES.gpkg|layername=basic_crop_registratio_plots__crop_registration_plots_,0.906602731,7.723397738,0.906602731,3,0.330352303,19309,-13431.36264,-0.695601152
15,Bouwland,"Aardappelen, consumptie",2014,,Definitief,,Aardappelen - All variations POTATOES — basic_crop_registratio_plots__crop_registration_plots_,F:/1 - Thesis/Field data/Crop/Aardappelen - All variations POTATOES.gpkg|layername=basic_crop_registratio_plots__crop_registration_plots_,0.179725887,4.083340865,0.179725887,4,0.334459866,10207,320.031339,0.031354104
17,Bouwland,"Aardappelen, consumptie",2014,,Definitief,,Aardappelen - All variations POTATOES — basic_crop_registratio_plots__crop_registration_plots_,F:/1 - Thesis/Field data/Crop/Aardappelen - All variations POTATOES.gpkg|layername=basic_crop_registratio_plots__crop_registration_plots_,0.285186792,10.08298674,0.285186792,3.963190184,0.566383537,25204,-1869.545405,-0.074176536
18,Bouwland,"Aardappelen, consumptie",2014,,Definitief,,Aardappelen - All variations POTATOES — basic_crop_registratio_plots__crop_registration_plots_,F:/1 - Thesis/Field data/Crop/Aardappelen - All variations POTATOES.gpkg|layername=basic_crop_registratio_plots__crop_registration_plots_,0.02498867,7.208903916,0.02498867,3.313043478,0.726400894,18022,3478.08348,0.192990982
19,Bouwland,"Aardappelen, consumptie",2014,,Definitief,,Aardappelen - All variations POTATOES — basic_crop_registratio_plots__crop_registration_plots_,F:/1 - Thesis/Field data/Crop/Aardappelen - All variations POTATOES.gpkg|layername=basic_crop_registratio_plots__crop_registration_plots_,-0.962563449,2.640394355,-0.962563449,4,0.557571242,6601,7987.682035,1.21007151
20,Bouwland,"Aardappelen, consumptie",2014,,Definitief,,Aardappelen - All variations POTATOES — basic_crop_registratio_plots__crop_registration_plots_,F:/1 - Thesis/Field data/Crop/Aardappelen - All variations POTATOES.gpkg|layername=basic_crop_registratio_plots__crop_registration_plots_,-1.751938329,4.929902161,-1.751938329,4,0.823886784,12321,24249.39476,1.968135278
22,Bouwland,"Aardappelen, consumptie",2014,,Definitief,,Aardappelen - All variations POTATOES — basic_crop_registratio_plots__crop_registration_plots_,F:/1 - Thesis/Field data/Crop/Aardappelen - All variations POTATOES.gpkg|layername=basic_crop_registratio_plots__crop_registration_plots_,-0.567000867,4.493321453,-0.567000867,3.361111111,0.328167528,11232,8738.506307,0.778000918
23,Bouwland,"Aardappelen, consumptie",2014,,Definitief,,Aardappelen - All variations POTATOES — basic_crop_registratio_plots__crop_registration_plots_,F:/1 - Thesis/Field data/Crop/Aardappelen - All variations POTATOES.gpkg|layername=basic_crop_registratio_plots__crop_registration_plots_,-0.230089055,3.210107923,-0.230089055,4,0.404602569,8031,3542.43077,0.441094605
24,Bouwland,"Aardappelen, consumptie",2014,,Definitief,,Aardappelen - All variations POTATOES — basic_crop_registratio_plots__crop_registration_plots_,F:/1 - Thesis/Field data/Crop/Aardappelen - All variations POTATOES.gpkg|layername=basic_crop_registratio_plots__crop_registration_plots_,-1.082377276,3.080931672,-1.082377276,4,0.959228629,7702,9962.374148,1.293478856
25,Bouwland,"Aardappelen, consumptie",2014,,Definitief,,Aardappelen - All variations POTATOES — basic_crop_registratio_plots__crop_registration_plots_,F:/1 - Thesis/Field data/Crop/Aardappelen - All variations POTATOES.gpkg|layername=basic_crop_registratio_plots__crop_registration_plots_,-0.089134157,2.709529681,-0.089134157,3,0.47418121,6772,2032.509328,0.300134278
